Solar Radiation File									
Wall Study 2001									
SLTEST Site									
Date:  July 2001									

Year	Month	Day	Hour	Minute	Second	Decimal Time	Rs down	Rs up	L down

1	7	19	0	0	44	0.012222222	-1.23	2.9		405.39
1	7	19	0	1	44	0.028888889	-1.24	2.8		405.52
1	7	19	0	2	44	0.045555556	-1.34	2.67	405.32
1	7	19	0	3	44	0.062222222	-1.47	2.47	405.27
1	7	19	0	4	44	0.078888889	-1.62	2.28	405.5
1	7	19	0	5	44	0.095555556	-1.74	2.12	405.44
1	7	19	0	6	44	0.112222222	-1.84	1.96	405.35
1	7	19	0	7	44	0.128888889	-1.83	1.92	405.1
1	7	19	0	8	44	0.145555556	-1.98	1.76	403.3
1	7	19	0	9	44	0.162222222	-2		1.63	398.49
1	7	19	0	10	44	0.178888889	-1.98	1.46	371.45
1	7	19	0	11	44	0.195555556	-1.81	1.47	367.52
1	7	19	0	12	44	0.212222222	-1.48	1.72	367.17
1	7	19	0	13	44	0.228888889	-1.17	1.97	371.71
1	7	19	0	14	44	0.245555556	-1.11	2		375.42
1	7	19	0	15	44	0.262222222	-1.19	1.88	388.28
1	7	19	0	16	44	0.278888889	-1.09	1.84	378.86
1	7	19	0	17	44	0.295555556	-1.15	1.76	374.64
1	7	19	0	18	44	0.312222222	-1.04	1.77	373.7
1	7	19	0	19	44	0.328888889	-1.07	1.71	376
1	7	19	0	20	44	0.345555556	-1.3	1.55	378.91
1	7	19	0	21	44	0.362222222	-1.54	1.4		380.91
1	7	19	0	22	44	0.378888889	-1.69	1.32	386.12
1	7	19	0	23	44	0.395555556	-1.62	1.29	381.67
1	7	19	0	24	44	0.412222222	-1.58	1.27	382.29
1	7	19	0	25	44	0.428888889	-1.42	1.29	380.13
1	7	19	0	26	44	0.445555556	-1.55	1.19	376.23
1	7	19	0	27	44	0.462222222	-1.65	1.13	371.13
1	7	19	0	28	44	0.478888889	-1.45	1.22	364.56
1	7	19	0	29	44	0.495555556	-1.24	1.36	363.78
1	7	19	0	30	44	0.512222222	-1.12	1.51	364.4
1	7	19	0	31	44	0.528888889	-1.02	1.65	363.15
1	7	19	0	32	44	0.545555556	-0.97	1.79	363.88
1	7	19	0	33	44	0.562222222	-1.04	1.79	359.48
1	7	19	0	34	44	0.578888889	-1.22	1.76	359.33
1	7	19	0	35	44	0.595555556	-1.4	1.67	358
1	7	19	0	36	44	0.612222222	-1.71	1.49	353.77
1	7	19	0	37	44	0.628888889	-2.13	1.2		356.04
1	7	19	0	38	44	0.645555556	-2.36	1.01	356.79
1	7	19	0	39	44	0.662222222	-2.38	0.98	351.83
1	7	19	0	40	44	0.678888889	-2.22	1.1		350.19
1	7	19	0	41	44	0.695555556	-2.01	1.23	348.95
1	7	19	0	42	44	0.712222222	-1.89	1.32	349.2
1	7	19	0	43	44	0.728888889	-1.85	1.46	350.37
1	7	19	0	44	44	0.745555556	-1.69	1.62	350.56
1	7	19	0	45	44	0.762222222	-1.37	1.85	348.43
1	7	19	0	46	44	0.778888889	-1.11	2.05	347.71
1	7	19	0	47	44	0.795555556	-0.9	2.17	346.23
1	7	19	0	48	44	0.812222222	-0.85	2.23	347.62
1	7	19	0	49	44	0.828888889	-0.94	2.17	345.35
1	7	19	0	50	44	0.845555556	-1.07	2.14	345.07
1	7	19	0	51	44	0.862222222	-1.14	2.15	343.68
1	7	19	0	52	44	0.878888889	-1.42	2.06	344.03
1	7	19	0	53	44	0.895555556	-1.63	1.92	347.84
1	7	19	0	54	44	0.912222222	-1.73	1.97	345.01
1	7	19	0	55	44	0.928888889	-1.78	1.94	344.18
1	7	19	0	56	44	0.945555556	-1.83	1.94	343.39
1	7	19	0	57	44	0.962222222	-1.84	1.92	342.35
1	7	19	0	58	44	0.978888889	-1.87	1.9		343.02
1	7	19	0	59	44	0.995555556	-1.88	1.9		341.92
1	7	19	1	0	44	1.012222222	-1.91	1.89	340.93
1	7	19	1	1	44	1.028888889	-1.97	1.86	339.84
1	7	19	1	2	44	1.045555556	-2.15	1.73	337.32
1	7	19	1	3	44	1.062222222	-2.55	1.43	333.07
1	7	19	1	4	44	1.078888889	-2.9	1.07	330.29
1	7	19	1	5	44	1.095555556	-3.05	0.89	329.53
1	7	19	1	6	44	1.112222222	-3.03	0.79	329.92
1	7	19	1	7	44	1.128888889	-2.83	0.96	328.93
1	7	19	1	8	44	1.145555556	-2.59	1.08	329.16
1	7	19	1	9	44	1.162222222	-2.4	1.21	327.13
1	7	19	1	10	44	1.178888889	-2.43	1.27	322.88
1	7	19	1	11	44	1.195555556	-2.57	1.26	320.68
1	7	19	1	12	44	1.212222222	-2.56	1.33	322.08
1	7	19	1	13	44	1.228888889	-2.39	1.52	321.73
1	7	19	1	14	44	1.245555556	-2.23	1.76	322.24
1	7	19	1	15	44	1.262222222	-2.26	1.93	320.75
1	7	19	1	16	44	1.278888889	-2.46	1.97	320.33
1	7	19	1	17	44	1.295555556	-2.72	1.9		319.75
1	7	19	1	18	44	1.312222222	-2.96	1.89	318.54
1	7	19	1	19	44	1.328888889	-3.27	1.84	315.92
1	7	19	1	20	44	1.345555556	-3.76	1.59	315.07
1	7	19	1	21	44	1.362222222	-4.09	1.34	314.3
1	7	19	1	22	44	1.378888889	-4.31	1.17	314.55
1	7	19	1	23	44	1.395555556	-4.39	1.14	315.44
1	7	19	1	24	44	1.412222222	-4.01	1.43	316.12
1	7	19	1	25	44	1.428888889	-3.51	1.81	315.92
1	7	19	1	26	44	1.445555556	-3.12	2.2		316.98
1	7	19	1	27	44	1.462222222	-2.71	2.53	317.73
1	7	19	1	28	44	1.478888889	-2.33	2.79	318.86
1	7	19	1	29	44	1.495555556	-1.88	3.09	319.38
1	7	19	1	30	44	1.512222222	-1.5	3.35	318.54
1	7	19	1	31	44	1.528888889	-1.47	3.39	315.65
1	7	19	1	32	44	1.545555556	-1.84	3.22	314.4
1	7	19	1	33	44	1.562222222	-2.27	2.98	314.2
1	7	19	1	34	44	1.578888889	-2.67	2.81	314.43
1	7	19	1	35	44	1.595555556	-2.91	2.69	314.98
1	7	19	1	36	44	1.612222222	-2.98	2.7		316.18
1	7	19	1	37	44	1.628888889	-2.79	2.85	317.19
1	7	19	1	38	44	1.645555556	-2.49	3.07	317.35
1	7	19	1	39	44	1.662222222	-2.28	3.21	316.83
1	7	19	1	40	44	1.678888889	-2.1	3.31	317.09
1	7	19	1	41	44	1.695555556	-2.07	3.34	316.4
1	7	19	1	42	44	1.712222222	-2.02	3.32	316.6
1	7	19	1	43	44	1.728888889	-1.83	3.4		317.94
1	7	19	1	44	44	1.745555556	-1.6	3.61	317.62
